text,label
"yellowfin tuna, extra virgin olive oil, water, dehydrated vegetables, salt, spices, citric acid, lemon peel, natural flavor, lemon oil, partially hydrogenated",Seafood
"crushed tomatoes, salt, sugar, citric acid, garlic, onion, basil, oregano.",Condiments
"pasteurized milk, pasteurized whey, vinegar, stabilizers, salt.",Dairies
"cultured pasteurized nonfat milk, cultured pasteurized cream, milk protein concentrate, stabilizer, cucumber, garlic, sea salt, organic distilled white vinegar, dill, contains live and active cultures l. paracasei, p. freudenreichii, s. thermophilus, l. bulgaricus.",Condiments
"cultured pasteurized grade a low fat milk, sugar, modified corn starch. contains or less of kosher gelatin, tricalcium phosphate, natural flavor, potassium sorbate added to maintain freshness, carrageenan, vitamin a acetate, vitamin d.",Dairies
"potatoes, vegetable oil, whey, nonfat dry milk, salt, onion and garlic powder, maltodextrin, dextrose, natural parmesan cheese flavor (parmesan cheese [pasteurized milk, cheese culture",Snacks
"organic dark turkey meat, water, sea salt, organic honey, celery juice powder, lactic acid starter culture, organic spices.",Meats and their products
"pork fat with attached skin, salt",Snacks
"sugar, bleached enriched flour, oats, vegetable oil, raisins, walnuts, eggs, butter, water, molasses, baking soda, salt, spice, sodium acid pyrophosphate.",Snacks
"potatoes, water, salt, calcium chloride, calcium disodium edta .",Plant-based foods and beverages
"canola oil, lemon juice, white wine vinegar, dijon mustard, dried garlic, cultured dextrose, black pepper, pure cane sugar, salt, xanthan gum.",Condiments
"milk, contains . or less of dipotassium phosphate, carrageenan, vitamin d.",Dairies
"consist of milk chocolate, vanillin ).",Snacks
"milk, cream, caramel [corn syrup, water, sugar, milk, nonfat milk, sea salt, pectin, baking soda ], corn syrup, sugar, whey, nonfat milk, cocoa processed with alkali, cellulose gel, cellulose gum, salt, mono & diglycerides, carrageenan.",Desserts
"organic tomato concentrate, organic balsamic vinegar, salt, organic onion powder, organic garlic powder, organic spices",Condiments
"popcorn, cane sugar, sunflower oil and salt.",Snacks
"peanuts, vegetable oil, salt, spices, citric acid, tapioca maltodextrin, corn maltodextrin, corn syrup solids, artificial color, lime juice solids, and natural flavor . contains peanut ingredients. may contain traces of treenut and soy ingredients.",Snacks
"water, tomato paste, sugar, seasoning, vinegar, celery juice, salt, natural smoke flavor, corn starch, preservatives .",Condiments
"soy protein isolate, roasted peanuts, soluble corn fiber, sugar, cashews, fructose, palm kernel and palm oil, pretzel pieces, vitamin b, folic acid], malt flavoring, salt, soybean oil, yeast), dextrose, rolled oats, soybeans, contains or less of nonfat milk, glycerin, milk, sea salt, natural flavor, salt, paprika extract for color, cocoa powder for color, soy lecithin, corn syrup, butter, rosemary extract for freshness, xanthan gum, wheat starch.",Snacks
